cap-diameter,cap-shape,cap-surface,cap-color,does-bruise-or-bleed,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-surface,stem-color,has-ring,ring-type,habitat,season
19.37,,,,,,,,19.86,0.83,,,,,,
13.65,,,,,,,,16.99,25.29,,,,,,
9.55,,,,,,,,18.89,11.32,,,,,,
10.57,,,,,,,,16.72,30.4,,,,,,
14.13,,,,,,,,1.39,25.94,,,,,,
10.56,,,,,,,,18.38,18.49,,,,,,
19.95,,,,,,,,28.39,16.9,,,,,,
20.66,,,,,,,,15.97,34.34,,,,,,
11.23,,,,,,,,12.67,17.15,,,,,,
10.32,,,,,,,,14.27,9.9,,,,,,
19.71,,,,,,,,16.39,2.15,,,,,,
15.71,,,,,,,,14.68,16.77,,,,,,
15.22,,,,,,,,1.8,25.74,,,,,,
14.98,,,,,,,,15.94,12.63,,,,,,
19.98,,,,,,,,17.9,38.86,,,,,,
19.56,,,,,,,,17.34,25.25,,,,,,
19.61,,,,,,,,24.84,25.06,,,,,,
13.34,,,,,,,,1.73,12.58,,,,,,
12.8,,,,,,,,14.79,24.32,,,,,,
4.56,,,,,,,,13.25,34.07,,,,,,
48.76,,,,,,,,19.19,30.78,,,,,,
16.53,,,,,,,,14.92,3.22,,,,,,
17.23,,,,,,,,24.51,30.66,,,,,,
53.87,,,,,,,,13.15,2.91,,,,,,
50.53,,,,,,,,16.9,7.73,,,,,,
23.01,,,,,,,,21.76,7.81,,,,,,
46.24,,,,,,,,13.56,14.35,,,,,,
50.56,,,,,,,,1.63,18.04,,,,,,
11.73,,,,,,,,14.32,6.72,,,,,,
54.36,,,,,,,,1.27,17.55,,,,,,
51.49,,,,,,,,20.73,30.36,,,,,,
19.63,,,,,,,,22.1,31.97,,,,,,
13.95,,,,,,,,20.03,25.37,,,,,,
13.28,,,,,,,,23.45,24.74,,,,,,
23.1,,,,,,,,19.99,18.13,,,,,,
13.42,,,,,,,,12.7,20.11,,,,,,
59.51,,,,,,,,17.98,2.87,,,,,,
15.69,,,,,,,,15.74,28.35,,,,,,
13.87,,,,,,,,16.4,22.99,,,,,,
22.06,,,,,,,,16.95,34.89,,,,,,
15.65,,,,,,,,28.25,2.04,,,,,,
15.78,,,,,,,,18.17,26.23,,,,,,
15.14,,,,,,,,16.94,3.91,,,,,,
15.73,,,,,,,,21.45,13.45,,,,,,
16.73,,,,,,,,28.31,25.42,,,,,,
11.82,,,,,,,,13.73,23.37,,,,,,
19.53,,,,,,,,14.03,7.94,,,,,,
12.58,,,,,,,,16.26,9.48,,,,,,
23.35,,,,,,,,18.08,32.4,,,,,,
17.86,,,,,,,,15.67,9.21,,,,,,
21.51,,,,,,,,19.26,10.06,,,,,,
21.35,,,,,,,,35.64,7.35,,,,,,
9.56,,,,,,,,19.3,31.46,,,,,,
15.51,,,,,,,,13.49,32.5,,,,,,
14.97,,,,,,,,17.13,32.6,,,,,,
49.68,,,,,,,,18.97,11.71,,,,,,
46.89,,,,,,,,11.74,16.41,,,,,,
15.44,,,,,,,,26.18,33.45,,,,,,
10.22,,,,,,,,15.09,3.3,,,,,,
17.36,,,,,,,,14.67,5.1,,,,,,
14.85,,,,,,,,20.56,36.53,,,,,,
51.3,,,,,,,,17.62,14.76,,,,,,
16.02,,,,,,,,0.93,10.36,,,,,,
45.67,,,,,,,,15.42,16.37,,,,,,
17.27,,,,,,,,24.44,13.99,,,,,,
18.03,,,,,,,,15.65,22.0,,,,,,
16.19,,,,,,,,19.16,8.52,,,,,,
12.77,,,,,,,,1.31,4.05,,,,,,
12.75,,,,,,,,14.39,14.61,,,,,,
55.52,,,,,,,,15.4,7.95,,,,,,
10.81,,,,,,,,18.31,5.12,,,,,,
17.9,,,,,,,,16.64,23.31,,,,,,
21.73,,,,,,,,15.28,29.9,,,,,,
18.36,,,,,,,,15.01,26.47,,,,,,
21.08,,,,,,,,24.5,0.64,,,,,,
17.53,,,,,,,,15.05,22.36,,,,,,
18.39,,,,,,,,14.31,0.73,,,,,,
15.55,,,,,,,,15.29,31.66,,,,,,
14.68,,,,,,,,17.61,6.81,,,,,,
17.91,,,,,,,,15.39,7.78,,,,,,
29.95,,,,,,,,19.28,9.74,,,,,,
15.91,,,,,,,,23.38,9.45,,,,,,
15.52,,,,,,,,11.54,17.17,,,,,,
12.66,,,,,,,,20.09,17.82,,,,,,
15.05,,,,,,,,14.61,4.77,,,,,,
22.51,,,,,,,,24.6,32.0,,,,,,
16.22,,,,,,,,15.12,16.67,,,,,,
52.61,,,,,,,,24.17,19.0,,,,,,
44.62,,,,,,,,16.66,24.44,,,,,,
19.35,,,,,,,,17.95,13.13,,,,,,
17.39,,,,,,,,14.78,19.53,,,,,,
9.79,,,,,,,,25.82,15.07,,,,,,
21.91,,,,,,,,18.51,23.79,,,,,,
53.61,,,,,,,,13.91,4.71,,,,,,
51.48,,,,,,,,19.22,32.31,,,,,,
18.64,,,,,,,,23.14,27.42,,,,,,
19.14,,,,,,,,11.99,20.3,,,,,,
16.91,,,,,,,,15.84,4.44,,,,,,
53.66,,,,,,,,19.77,15.32,,,,,,
15.12,,,,,,,,15.48,8.61,,,,,,
18.98,,,,,,,,12.78,5.08,,,,,,
17.79,,,,,,,,14.37,24.24,,,,,,
19.73,,,,,,,,14.85,29.55,,,,,,
11.89,,,,,,,,17.51,5.47,,,,,,
52.34,,,,,,,,16.0,16.23,,,,,,
16.11,,,,,,,,14.1,9.07,,,,,,
12.53,,,,,,,,25.62,30.43,,,,,,
16.82,,,,,,,,14.47,32.94,,,,,,
18.96,,,,,,,,18.52,6.34,,,,,,
51.85,,,,,,,,15.6,11.67,,,,,,
57.61,,,,,,,,15.72,16.82,,,,,,
14.0,,,,,,,,18.61,33.09,,,,,,
13.32,,,,,,,,1.88,1.76,,,,,,
13.66,,,,,,,,18.23,26.9,,,,,,
51.32,,,,,,,,15.95,4.76,,,,,,
17.69,,,,,,,,20.99,23.97,,,,,,
12.54,,,,,,,,20.43,4.75,,,,,,
12.41,,,,,,,,22.34,15.31,,,,,,
16.23,,,,,,,,12.48,26.49,,,,,,
19.91,,,,,,,,19.13,34.82,,,,,,
15.58,,,,,,,,18.03,4.14,,,,,,
19.34,,,,,,,,15.03,27.01,,,,,,
11.97,,,,,,,,15.8,8.25,,,,,,
13.72,,,,,,,,16.31,22.26,,,,,,
19.31,,,,,,,,14.86,18.81,,,,,,
53.82,,,,,,,,16.5,17.58,,,,,,
50.03,,,,,,,,25.69,50.93,,,,,,
47.13,,,,,,,,12.54,3.44,,,,,,
14.75,,,,,,,,15.7,21.8,,,,,,
19.66,,,,,,,,21.08,23.8,,,,,,
19.96,,,,,,,,16.62,17.95,,,,,,
14.91,,,,,,,,20.46,15.14,,,,,,
45.79,,,,,,,,20.88,6.98,,,,,,
22.99,,,,,,,,13.44,16.49,,,,,,
13.58,,,,,,,,12.69,22.54,,,,,,
52.11,,,,,,,,17.7,25.97,,,,,,
17.29,,,,,,,,16.03,12.59,,,,,,
24.6,,,,,,,,19.48,19.9,,,,,,
19.26,,,,,,,,15.43,16.95,,,,,,
47.88,,,,,,,,16.16,10.74,,,,,,
16.7,,,,,,,,17.4,9.75,,,,,,
20.88,,,,,,,,14.35,16.94,,,,,,
15.57,,,,,,,,26.4,35.21,,,,,,
12.64,,,,,,,,14.25,6.64,,,,,,
0.48,,,,,,,,23.22,13.58,,,,,,
17.21,,,,,,,,16.76,40.91,,,,,,
21.66,,,,,,,,26.56,3.73,,,,,,
13.92,,,,,,,,21.89,14.86,,,,,,
16.32,,,,,,,,16.49,22.77,,,,,,
17.34,,,,,,,,25.81,13.7,,,,,,
16.31,,,,,,,,24.61,17.39,,,,,,
12.81,,,,,,,,18.77,9.1,,,,,,
13.59,,,,,,,,13.48,5.64,,,,,,
12.13,,,,,,,,23.46,6.12,,,,,,
43.17,,,,,,,,20.58,29.14,,,,,,
52.76,,,,,,,,17.48,9.57,,,,,,
18.76,,,,,,,,15.5,10.1,,,,,,
13.64,,,,,,,,18.18,15.76,,,,,,
40.03,,,,,,,,14.56,8.79,,,,,,
14.3,,,,,,,,1.23,8.02,,,,,,
18.25,,,,,,,,15.66,10.38,,,,,,
22.63,,,,,,,,18.16,45.09,,,,,,
18.74,,,,,,,,13.82,5.31,,,,,,
21.68,,,,,,,,27.22,16.16,,,,,,
16.21,,,,,,,,15.52,23.96,,,,,,
56.13,,,,,,,,22.2,13.53,,,,,,
52.59,,,,,,,,13.57,27.14,,,,,,
21.31,,,,,,,,23.21,3.05,,,,,,
18.55,,,,,,,,24.52,13.97,,,,,,
19.47,,,,,,,,17.37,32.16,,,,,,
54.3,,,,,,,,1.22,8.28,,,,,,
47.15,,,,,,,,19.71,30.21,,,,,,
19.79,,,,,,,,14.18,11.72,,,,,,
20.25,,,,,,,,23.98,30.31,,,,,,
17.84,,,,,,,,14.57,0.81,,,,,,
14.88,,,,,,,,17.68,5.03,,,,,,
24.2,,,,,,,,17.01,4.63,,,,,,
11.71,,,,,,,,16.8,10.63,,,,,,
52.57,,,,,,,,14.53,20.83,,,,,,
20.46,,,,,,,,15.53,14.18,,,,,,
13.96,,,,,,,,23.49,3.31,,,,,,
48.61,,,,,,,,21.82,19.68,,,,,,
51.26,,,,,,,,19.03,6.03,,,,,,
11.56,,,,,,,,15.1,8.71,,,,,,
53.83,,,,,,,,1.14,27.19,,,,,,
52.27,,,,,,,,19.29,9.68,,,,,,
18.08,,,,,,,,21.98,2.16,,,,,,
23.95,,,,,,,,16.08,37.44,,,,,,
48.48,,,,,,,,11.94,25.87,,,,,,
14.12,,,,,,,,23.73,8.09,,,,,,
18.51,,,,,,,,17.15,18.14,,,,,,
14.96,,,,,,,,14.06,27.21,,,,,,
14.04,,,,,,,,22.08,11.33,,,,,,
14.2,,,,,,,,19.01,25.6,,,,,,
49.51,,,,,,,,19.08,20.28,,,,,,
47.92,,,,,,,,15.36,7.21,,,,,,
23.41,,,,,,,,20.78,4.8,,,,,,
20.84,,,,,,,,15.37,14.72,,,,,,
14.11,,,,,,,,14.2,4.33,,,,,,
2.15,,,,,,,,17.73,3.58,,,,,,
17.51,,,,,,,,23.12,29.51,,,,,,
14.47,,,,,,,,16.12,26.82,,,,,,
13.1,,,,,,,,24.1,3.85,,,,,,
21.54,,,,,,,,16.06,4.52,,,,,,
23.4,,,,,,,,23.84,1.24,,,,,,
18.04,,,,,,,,17.67,1.1,,,,,,
21.2,,,,,,,,24.7,2.21,,,,,,
18.89,,,,,,,,16.57,12.92,,,,,,
16.77,,,,,,,,26.25,16.62,,,,,,
17.49,,,,,,,,1.87,20.63,,,,,,
16.38,,,,,,,,38.11,16.39,,,,,,
22.31,,,,,,,,24.36,22.75,,,,,,
52.0,,,,,,,,20.28,35.29,,,,,,
51.44,,,,,,,,14.55,8.62,,,,,,
54.13,,,,,,,,15.06,43.93,,,,,,
17.31,,,,,,,,16.44,17.71,,,,,,
19.65,,,,,,,,33.46,25.38,,,,,,
50.68,,,,,,,,21.57,25.17,,,,,,
18.22,,,,,,,,16.36,15.72,,,,,,
21.95,,,,,,,,16.07,24.53,,,,,,
22.97,,,,,,,,27.26,36.15,,,,,,
17.56,,,,,,,,19.05,21.98,,,,,,
16.54,,,,,,,,13.24,6.96,,,,,,
17.48,,,,,,,,22.7,9.09,,,,,,
17.96,,,,,,,,13.99,27.62,,,,,,
13.94,,,,,,,,14.14,21.27,,,,,,
19.99,,,,,,,,22.32,14.17,,,,,,
14.54,,,,,,,,17.55,3.25,,,,,,
15.89,,,,,,,,21.9,17.21,,,,,,
48.82,,,,,,,,33.86,12.73,,,,,,
18.4,,,,,,,,18.93,20.31,,,,,,
48.66,,,,,,,,17.04,12.02,,,,,,
17.11,,,,,,,,11.57,16.25,,,,,,
14.14,,,,,,,,13.5,48.01,,,,,,
12.9,,,,,,,,18.55,16.1,,,,,,
0.47,,,,,,,,19.34,31.27,,,,,,
17.43,,,,,,,,11.76,15.3,,,,,,
45.58,,,,,,,,22.03,4.59,,,,,,
43.68,,,,,,,,19.58,1.6,,,,,,
16.84,,,,,,,,22.05,1.08,,,,,,
20.08,,,,,,,,18.82,43.43,,,,,,
46.29,,,,,,,,22.26,14.54,,,,,,
17.68,,,,,,,,16.04,15.83,,,,,,
48.12,,,,,,,,16.73,5.89,,,,,,
23.37,,,,,,,,18.15,1.71,,,,,,
26.61,,,,,,,,18.65,20.44,,,,,,
17.63,,,,,,,,14.09,1.84,,,,,,
57.09,,,,,,,,22.0,33.24,,,,,,
13.31,,,,,,,,23.24,25.49,,,,,,
14.78,,,,,,,,16.33,14.01,,,,,,
18.34,,,,,,,,25.47,12.33,,,,,,
22.26,,,,,,,,23.3,13.92,,,,,,
12.55,,,,,,,,18.13,10.65,,,,,,
22.36,,,,,,,,29.55,1.77,,,,,,
15.76,,,,,,,,18.73,26.39,,,,,,
13.98,,,,,,,,17.36,24.92,,,,,,
51.24,,,,,,,,19.62,35.04,,,,,,
19.51,,,,,,,,18.58,22.19,,,,,,
17.42,,,,,,,,22.6,19.67,,,,,,
16.74,,,,,,,,22.3,18.2,,,,,,
15.11,,,,,,,,22.44,21.55,,,,,,
47.8,,,,,,,,18.8,26.68,,,,,,
46.69,,,,,,,,19.04,28.21,,,,,,
12.5,,,,,,,,14.05,23.27,,,,,,
49.83,,,,,,,,20.98,22.27,,,,,,
13.7,,,,,,,,20.38,33.58,,,,,,
47.0,,,,,,,,17.75,11.54,,,,,,
48.63,,,,,,,,23.39,35.22,,,,,,
20.02,,,,,,,,21.78,21.43,,,,,,
50.77,,,,,,,,13.98,7.57,,,,,,
53.4,,,,,,,,16.7,24.97,,,,,,
13.89,,,,,,,,16.13,3.6,,,,,,
57.98,,,,,,,,14.11,24.94,,,,,,
50.83,,,,,,,,16.81,30.2,,,,,,
20.61,,,,,,,,1.86,21.12,,,,,,
49.26,,,,,,,,13.33,22.21,,,,,,
17.99,,,,,,,,18.47,8.45,,,,,,
16.57,,,,,,,,13.66,11.39,,,,,,
20.45,,,,,,,,21.55,12.46,,,,,,
13.43,,,,,,,,22.22,18.06,,,,,,
13.9,,,,,,,,25.88,17.87,,,,,,
19.55,,,,,,,,22.14,15.35,,,,,,
21.32,,,,,,,,17.23,13.52,,,,,,
51.64,,,,,,,,17.91,7.34,,,,,,
19.25,,,,,,,,14.24,22.53,,,,,,
19.82,,,,,,,,25.2,20.35,,,,,,
20.32,,,,,,,,19.02,14.52,,,,,,
47.72,,,,,,,,17.38,11.19,,,,,,
26.79,,,,,,,,17.33,5.59,,,,,,
17.64,,,,,,,,27.83,13.38,,,,,,
16.97,,,,,,,,23.36,19.03,,,,,,
16.08,,,,,,,,29.36,26.01,,,,,,
17.6,,,,,,,,14.21,9.23,,,,,,
18.65,,,,,,,,26.3,18.58,,,,,,
19.92,,,,,,,,14.69,25.19,,,,,,
19.1,,,,,,,,20.19,13.39,,,,,,
10.71,,,,,,,,19.6,13.76,,,,,,
39.76,,,,,,,,15.15,25.8,,,,,,
15.34,,,,,,,,17.22,3.1,,,,,,
20.29,,,,,,,,18.98,22.34,,,,,,
20.67,,,,,,,,13.21,25.71,,,,,,
44.11,,,,,,,,20.68,11.84,,,,,,
15.26,,,,,,,,22.8,17.9,,,,,,
52.56,,,,,,,,15.54,6.73,,,,,,
12.76,,,,,,,,18.74,34.44,,,,,,
52.13,,,,,,,,16.29,13.89,,,,,,
17.09,,,,,,,,18.33,5.18,,,,,,
14.03,,,,,,,,23.52,32.13,,,,,,
48.31,,,,,,,,19.11,36.02,,,,,,
12.62,,,,,,,,26.59,12.24,,,,,,
21.82,,,,,,,,18.49,5.15,,,,,,
13.07,,,,,,,,24.54,25.68,,,,,,
54.62,,,,,,,,18.32,27.85,,,,,,
14.06,,,,,,,,1.16,18.96,,,,,,
53.21,,,,,,,,21.8,47.37,,,,,,
14.1,,,,,,,,13.19,4.38,,,,,,
21.02,,,,,,,,24.88,0.94,,,,,,
53.91,,,,,,,,14.95,3.23,,,,,,
22.01,,,,,,,,18.39,21.44,,,,,,
50.27,,,,,,,,22.53,11.63,,,,,,
21.5,,,,,,,,18.54,12.03,,,,,,
16.13,,,,,,,,18.87,3.94,,,,,,
17.07,,,,,,,,16.19,30.28,,,,,,
18.42,,,,,,,,23.72,13.36,,,,,,
46.92,,,,,,,,1.2,18.87,,,,,,
16.24,,,,,,,,15.69,21.87,,,,,,
11.54,,,,,,,,27.78,11.61,,,,,,
20.64,,,,,,,,23.93,12.84,,,,,,
45.64,,,,,,,,17.52,22.95,,,,,,
16.04,,,,,,,,21.06,6.89,,,,,,
24.25,,,,,,,,22.46,8.68,,,,,,
18.29,,,,,,,,16.11,13.32,,,,,,
12.83,,,,,,,,26.22,24.01,,,,,,
51.63,,,,,,,,29.26,8.51,,,,,,
55.13,,,,,,,,25.17,5.6,,,,,,
15.46,,,,,,,,20.79,5.53,,,,,,
15.5,,,,,,,,18.37,23.95,,,,,,
20.07,,,,,,,,23.68,14.26,,,,,,
22.25,,,,,,,,13.34,25.08,,,,,,
53.88,,,,,,,,23.16,22.08,,,,,,
16.86,,,,,,,,25.68,10.0,,,,,,
21.16,,,,,,,,15.59,13.17,,,,,,
11.55,,,,,,,,22.43,20.55,,,,,,
15.72,,,,,,,,22.73,39.76,,,,,,
43.66,,,,,,,,20.69,13.75,,,,,,
14.5,,,,,,,,18.26,24.45,,,,,,
15.75,,,,,,,,23.89,8.9,,,,,,
17.65,,,,,,,,20.27,17.31,,,,,,
17.06,,,,,,,,14.84,24.7,,,,,,
57.57,,,,,,,,17.58,11.14,,,,,,
46.16,,,,,,,,21.88,52.33,,,,,,
16.01,,,,,,,,24.05,0.88,,,,,,
18.86,,,,,,,,22.45,8.35,,,,,,
22.71,,,,,,,,28.47,12.76,,,,,,
20.48,,,,,,,,30.86,4.0,,,,,,
16.05,,,,,,,,14.38,17.46,,,,,,
19.89,,,,,,,,23.69,6.99,,,,,,
51.18,,,,,,,,22.02,35.33,,,,,,
22.38,,,,,,,,24.0,2.24,,,,,,
16.78,,,,,,,,16.37,1.83,,,,,,
24.82,,,,,,,,20.11,23.34,,,,,,
17.95,,,,,,,,17.2,14.53,,,,,,
46.85,,,,,,,,18.04,20.73,,,,,,
50.46,,,,,,,,21.79,12.68,,,,,,
21.25,,,,,,,,18.88,8.03,,,,,,
20.91,,,,,,,,24.22,23.69,,,,,,
17.17,,,,,,,,18.99,33.21,,,,,,
19.24,,,,,,,,23.08,15.54,,,,,,
19.59,,,,,,,,20.53,19.59,,,,,,
14.93,,,,,,,,18.36,16.97,,,,,,
19.22,,,,,,,,15.82,16.6,,,,,,
18.77,,,,,,,,1.17,19.66,,,,,,
47.89,,,,,,,,23.51,30.65,,,,,,
49.69,,,,,,,,19.33,3.82,,,,,,
13.85,,,,,,,,15.86,20.2,,,,,,
53.37,,,,,,,,24.73,1.12,,,,,,
16.6,,,,,,,,27.23,21.24,,,,,,
15.01,,,,,,,,25.38,20.39,,,,,,
18.85,,,,,,,,19.96,0.89,,,,,,
17.16,,,,,,,,17.12,30.82,,,,,,
16.06,,,,,,,,18.44,28.3,,,,,,
54.95,,,,,,,,26.41,4.78,,,,,,
16.29,,,,,,,,14.07,1.31,,,,,,
16.42,,,,,,,,18.96,31.68,,,,,,
15.18,,,,,,,,26.21,1.93,,,,,,
19.48,,,,,,,,25.16,5.76,,,,,,
52.3,,,,,,,,33.25,0.71,,,,,,
47.77,,,,,,,,20.08,16.98,,,,,,
13.6,,,,,,,,25.78,40.61,,,,,,
18.69,,,,,,,,1.15,15.75,,,,,,
53.26,,,,,,,,17.82,19.96,,,,,,
20.52,,,,,,,,19.73,17.96,,,,,,
28.08,,,,,,,,13.89,28.34,,,,,,
19.4,,,,,,,,18.1,5.23,,,,,,
56.24,,,,,,,,21.54,0.67,,,,,,
17.24,,,,,,,,17.17,39.37,,,,,,
53.27,,,,,,,,13.35,6.18,,,,,,
22.41,,,,,,,,25.74,24.93,,,,,,
18.5,,,,,,,,24.71,28.31,,,,,,
54.1,,,,,,,,21.97,33.77,,,,,,
44.0,,,,,,,,21.25,27.29,,,,,,
14.28,,,,,,,,19.51,16.53,,,,,,
47.37,,,,,,,,24.63,19.43,,,,,,
44.98,,,,,,,,27.18,14.77,,,,,,
16.59,,,,,,,,21.1,31.03,,,,,,
18.17,,,,,,,,20.18,26.4,,,,,,
18.54,,,,,,,,16.56,13.47,,,,,,
43.85,,,,,,,,28.16,27.98,,,,,,
53.57,,,,,,,,19.15,20.15,,,,,,
16.34,,,,,,,,22.84,34.64,,,,,,
21.45,,,,,,,,19.7,31.07,,,,,,
15.3,,,,,,,,18.4,18.52,,,,,,
47.12,,,,,,,,24.78,15.59,,,,,,
14.92,,,,,,,,33.38,20.1,,,,,,
16.89,,,,,,,,21.48,32.95,,,,,,
18.87,,,,,,,,27.58,23.04,,,,,,
48.19,,,,,,,,24.18,15.04,,,,,,
48.56,,,,,,,,24.75,22.38,,,,,,
50.33,,,,,,,,27.36,2.19,,,,,,
14.22,,,,,,,,15.21,15.78,,,,,,
12.85,,,,,,,,31.31,20.89,,,,,,
20.8,,,,,,,,18.78,17.34,,,,,,
22.48,,,,,,,,29.38,23.66,,,,,,
19.16,,,,,,,,28.32,3.97,,,,,,
15.79,,,,,,,,21.86,15.67,,,,,,
15.77,,,,,,,,24.21,21.73,,,,,,
23.66,,,,,,,,16.14,13.63,,,,,,
56.17,,,,,,,,20.82,5.09,,,,,,
50.29,,,,,,,,19.9,47.7,,,,,,
16.81,,,,,,,,15.56,18.55,,,,,,
16.35,,,,,,,,27.3,17.43,,,,,,
24.33,,,,,,,,19.54,27.39,,,,,,
48.51,,,,,,,,18.3,35.31,,,,,,
53.93,,,,,,,,27.15,9.06,,,,,,
49.96,,,,,,,,23.33,31.48,,,,,,
16.99,,,,,,,,23.67,10.46,,,,,,
54.25,,,,,,,,23.65,7.51,,,,,,
45.56,,,,,,,,20.74,16.02,,,,,,
19.41,,,,,,,,28.36,57.14,,,,,,
54.31,,,,,,,,16.52,19.41,,,,,,
54.22,,,,,,,,23.9,0.92,,,,,,
51.46,,,,,,,,26.51,16.44,,,,,,
20.19,,,,,,,,23.78,34.12,,,,,,
19.01,,,,,,,,25.07,0.78,,,,,,
21.26,,,,,,,,12.64,14.02,,,,,,
19.02,,,,,,,,18.2,23.53,,,,,,
48.58,,,,,,,,19.24,11.2,,,,,,
22.6,,,,,,,,27.25,28.69,,,,,,
50.23,,,,,,,,26.61,9.44,,,,,,
18.94,,,,,,,,20.04,23.76,,,,,,
45.24,,,,,,,,21.16,27.34,,,,,,
20.89,,,,,,,,21.46,28.38,,,,,,
12.94,,,,,,,,22.49,7.71,,,,,,
16.44,,,,,,,,20.83,23.54,,,,,,
54.64,,,,,,,,27.86,8.73,,,,,,
54.11,,,,,,,,20.47,22.42,,,,,,
20.94,,,,,,,,18.12,10.7,,,,,,
46.12,,,,,,,,19.69,48.46,,,,,,
18.46,,,,,,,,20.23,14.32,,,,,,
49.25,,,,,,,,19.12,37.39,,,,,,
57.91,,,,,,,,27.17,25.44,,,,,,
20.15,,,,,,,,23.85,11.55,,,,,,
46.21,,,,,,,,29.61,7.02,,,,,,
19.67,,,,,,,,23.82,5.37,,,,,,
19.5,,,,,,,,21.44,29.01,,,,,,
13.77,,,,,,,,24.46,13.66,,,,,,
21.05,,,,,,,,25.19,29.37,,,,,,
49.45,,,,,,,,28.3,27.68,,,,,,
21.33,,,,,,,,20.84,17.89,,,,,,
22.61,,,,,,,,14.22,24.4,,,,,,
47.82,,,,,,,,1.09,17.4,,,,,,
47.7,,,,,,,,22.4,24.8,,,,,,
19.2,,,,,,,,21.15,12.31,,,,,,
40.02,,,,,,,,28.19,29.94,,,,,,
42.13,,,,,,,,15.85,19.54,,,,,,
23.86,,,,,,,,18.0,20.53,,,,,,
20.65,,,,,,,,22.65,21.95,,,,,,
44.16,,,,,,,,17.8,27.16,,,,,,
22.2,,,,,,,,22.39,17.69,,,,,,
50.55,,,,,,,,21.64,1.26,,,,,,
49.76,,,,,,,,19.88,34.72,,,,,,
19.97,,,,,,,,23.74,39.42,,,,,,
51.22,,,,,,,,15.79,32.7,,,,,,
52.38,,,,,,,,29.08,10.89,,,,,,
53.34,,,,,,,,29.51,15.17,,,,,,
14.83,,,,,,,,22.86,29.15,,,,,,
11.72,,,,,,,,22.87,44.96,,,,,,
24.17,,,,,,,,26.72,17.0,,,,,,
54.63,,,,,,,,22.24,24.68,,,,,,
51.29,,,,,,,,24.92,2.18,,,,,,
45.32,,,,,,,,21.26,19.46,,,,,,
48.75,,,,,,,,15.34,4.82,,,,,,
49.65,,,,,,,,20.39,4.25,,,,,,
20.95,,,,,,,,34.78,63.14,,,,,,
23.46,,,,,,,,24.8,23.25,,,,,,
53.22,,,,,,,,14.43,6.83,,,,,,
25.78,,,,,,,,25.46,7.55,,,,,,
21.98,,,,,,,,23.37,20.47,,,,,,
19.69,,,,,,,,27.31,22.01,,,,,,
44.08,,,,,,,,25.32,4.5,,,,,,
15.09,,,,,,,,19.17,33.01,,,,,,
51.59,,,,,,,,26.46,11.3,,,,,,
21.39,,,,,,,,20.48,40.92,,,,,,
27.63,,,,,,,,19.52,9.83,,,,,,
56.02,,,,,,,,18.24,31.98,,,,,,
13.91,,,,,,,,21.95,31.06,,,,,,
18.05,,,,,,,,14.91,4.1,,,,,,
43.6,,,,,,,,20.8,4.29,,,,,,
45.45,,,,,,,,24.4,8.77,,,,,,
40.93,,,,,,,,22.64,7.88,,,,,,
52.42,,,,,,,,19.82,32.17,,,,,,
48.67,,,,,,,,32.44,33.85,,,,,,
12.84,,,,,,,,24.76,27.24,,,,,,
20.98,,,,,,,,18.85,19.77,,,,,,
54.59,,,,,,,,21.13,12.3,,,,,,
18.63,,,,,,,,14.26,4.19,,,,,,
20.76,,,,,,,,23.87,10.82,,,,,,
47.6,,,,,,,,26.33,38.51,,,,,,
50.31,,,,,,,,23.26,16.47,,,,,,
53.39,,,,,,,,26.48,20.86,,,,,,
23.62,,,,,,,,18.95,21.34,,,,,,
24.61,,,,,,,,26.84,9.5,,,,,,
57.4,,,,,,,,19.76,15.44,,,,,,
51.08,,,,,,,,15.33,21.38,,,,,,
43.65,,,,,,,,30.41,20.77,,,,,,
49.71,,,,,,,,24.41,20.95,,,,,,
20.21,,,,,,,,20.62,25.35,,,,,,
20.97,,,,,,,,17.21,9.7,,,,,,
22.66,,,,,,,,22.13,17.04,,,,,,
23.59,,,,,,,,27.48,21.19,,,,,,
51.03,,,,,,,,49.03,4.36,,,,,,
22.84,,,,,,,,23.0,32.69,,,,,,
18.53,,,,,,,,31.36,16.36,,,,,,
13.93,,,,,,,,13.8,18.65,,,,,,
53.33,,,,,,,,22.25,23.72,,,,,,
20.04,,,,,,,,23.43,31.45,,,,,,
26.67,,,,,,,,28.29,28.97,,,,,,
13.82,,,,,,,,20.52,14.5,,,,,,
43.47,,,,,,,,27.34,4.67,,,,,,
46.61,,,,,,,,21.63,25.36,,,,,,
24.62,,,,,,,,19.79,29.04,,,,,,
21.97,,,,,,,,19.81,8.91,,,,,,
24.53,,,,,,,,20.92,25.07,,,,,,
19.84,,,,,,,,20.72,33.75,,,,,,
21.52,,,,,,,,24.28,3.79,,,,,,
16.94,,,,,,,,20.14,42.11,,,,,,
49.66,,,,,,,,20.64,19.25,,,,,,
20.59,,,,,,,,15.04,24.71,,,,,,
17.72,,,,,,,,20.0,31.8,,,,,,
23.98,,,,,,,,21.01,21.89,,,,,,
50.64,,,,,,,,25.58,45.32,,,,,,
50.41,,,,,,,,22.54,10.41,,,,,,
47.84,,,,,,,,26.47,19.3,,,,,,
47.63,,,,,,,,26.8,19.16,,,,,,
51.36,,,,,,,,17.5,15.53,,,,,,
49.98,,,,,,,,24.98,36.88,,,,,,
